Country Code,Country Name,Region,IncomeGroup,SE_XPD_PRIM_PC_ZS,SE_XPD_SECO_PC_ZS,SE_XPD_TOTL_GD_ZS,SL_TLF_TOTL_IN,SL_UEM_TOTL_ZS
ABW,Aruba,Latin America & Caribbean,High income,14.3071462,19.88171129,5.58962,,
AFG,Afghanistan,South Asia,Low income,9.006358385,9.336751779,3.295751667,7455358.75,8.819437504
AGO,Angola,Sub-Saharan Africa,Lower middle income,,,2.9293825,8876532.625,15.5555
ALB,Albania,Europe & Central Asia,Upper middle income,29.84568024,6.32524991,3.256037,1286879,16.96950006
AND,Andorra,Europe & Central Asia,High income,12.31572923,11.57924466,2.503215,,
ARE,United Arab Emirates,Middle East & North Africa,High income,,,,4281417.688,3.003499992
ARG,Argentina,Latin America & Caribbean,High income,12.983525,18.22500637,4.719348125,18077001.13,10.68568748
ARM,Armenia,Europe & Central Asia,Upper middle income,10.90158685,14.69713974,2.77111875,1340764.563,16.38106251
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,8.693380356,11.92085028,2.95576,,
AUS,Australia,East Asia & Pacific,High income,18.64739994,16.68204737,5.018395833,11095533.25,5.499374986
AUT,Austria,Europe & Central Asia,High income,22.97133614,27.14283383,5.4493725,4160229.375,5.015000015
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,,,2.893819375,4190892.938,7.079999983
BDI,Burundi,Sub-Saharan Africa,Low income,12.436066,44.17332483,4.911796154,3562547.938,1.62349999
BEL,Belgium,Europe & Central Asia,High income,,,6.59568,4691843.563,7.634999961
BEN,Benin,Sub-Saharan Africa,Low income,10.90036794,17.81506526,3.813642,3442921.063,1.431437518
BFA,Burkina Faso,Sub-Saharan Africa,Low income,20.93373792,19.2337133,4.366171111,5624022.125,4.12431246
BGD,Bangladesh,South Asia,Lower middle income,8.214522476,11.61230356,2.077129167,56326586.06,4.008562505
BGR,Bulgaria,Europe & Central Asia,Upper middle income,19.15273461,19.67588362,3.726580769,3419573.063,11.604375
BHR,Bahrain,Middle East & North Africa,High income,10.65580972,16.39479987,2.600552857,564555.4375,1.251624994
BHS,"Bahamas, The",Latin America & Caribbean,High income,,,2.23284,197122.3125,11.0680626
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,,,,1490159.125,27.55756247
BLR,Belarus,Europe & Central Asia,Upper middle income,,,5.250450833,5002706.313,0.805187492
BLZ,Belize,Latin America & Caribbean,Upper middle income,15.2433519,21.98139827,5.915959,125479.9375,10.60631257
BMU,Bermuda,North America,High income,9.789196039,13.77875014,2.006355714,,
BOL,Bolivia,Latin America & Caribbean,Lower middle income,18.16774096,15.96163564,6.656155833,4368473.688,3.663124979
BRA,Brazil,Latin America & Caribbean,Upper middle income,16.70730502,18.14121844,5.056299333,92923319.88,8.238062501
BRB,Barbados,Latin America & Caribbean,High income,18.82611443,23.21648113,5.551535385,150305.8125,10.1293751
BRN,Brunei Darussalam,East Asia & Pacific,High income,5.017129898,8.904150248,3.06348,186163,6.040062487
BTN,Bhutan,South Asia,Lower middle income,9.354725079,33.58957454,5.610145455,315896.0625,2.750062495
BWA,Botswana,Sub-Saharan Africa,Upper middle income,13.98788985,41.08869293,9.721,826585.625,18.49306256
CAF,Central African Republic,Sub-Saharan Africa,Low income,5.486062532,16.27006912,1.427625455,1739100.563,6.263312489
CAN,Canada,North America,High income,17.61590958,18.32904053,5.013344444,18243630,7.113750041
CHE,Switzerland,Europe & Central Asia,High income,22.66417003,25.71793522,5.05705375,4364788.625,4.010000005
CHI,Channel Islands,Europe & Central Asia,High income,,,,77413.6875,9.621187449
CHL,Chile,Latin America & Caribbean,High income,13.98151401,14.62905585,3.944336429,7375835.875,7.91624999
CHN,China,East Asia & Pacific,Upper middle income,,,,769513106.1,4.335375026
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,13.97301091,25.11855507,4.257264375,6782094.813,3.288312495
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,5.810607488,26.26100292,2.760961333,8039384.938,4.747875035
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,5.14566493,7.405850172,1.927265,23521177.5,3.686250001
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,7.490933184,16.99041939,3.566834286,1636206,16.05118734
COL,Colombia,Latin America & Caribbean,Upper middle income,15.02247225,14.80641027,4.264808125,21574273.5,12.19062495
COM,Comoros,Sub-Saharan Africa,Low income,17.2538662,18.11843363,4.988644286,160626.75,4.493375003
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income,16.22726274,17.18496815,5.814608182,185381.375,10.93781251
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,19.85168417,21.15282002,5.708182667,2003983.75,7.243749976
CUB,Cuba,Latin America & Caribbean,Upper middle income,39.45639597,47.23391227,10.66795545,4961548.25,2.714999989
CUW,Curacao,Latin America & Caribbean,High income,10.07956028,23.09856987,4.93095,,
CYM,Cayman Islands,Latin America & Caribbean,High income,12.833675,16.4037055,1.885745,,
CYP,Cyprus,Europe & Central Asia,High income,24.67995157,33.84752742,6.205675333,542338.0625,7.267500043
CZE,Czech Republic,Europe & Central Asia,High income,13.0941006,21.88177071,4.117151875,5212735.063,6.878125012
DEU,Germany,Europe & Central Asia,High income,16.78649806,22.54725285,4.724665,41489947.06,7.688749909
DJI,Djibouti,Middle East & North Africa,Lower middle income,22.56045354,16.18505025,8.178743333,313151.1875,6.283062518
DMA,Dominica,Latin America & Caribbean,Upper middle income,14.80184269,15.17287006,3.38607,,
DNK,Denmark,Europe & Central Asia,High income,24.76177519,32.28161656,8.04066,2909914.625,5.487500042
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,8.813313363,7.726779942,1.932314,4206397.063,6.201250046
DZA,Algeria,Middle East & North Africa,Upper middle income,10.83501657,17.76034292,4.33702,10547832.75,15.60437495
ECU,Ecuador,Latin America & Caribbean,Upper middle income,9.604545146,4.875334978,4.32938375,6579220.813,6.561874926
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,,,4.309666667,25707273.31,10.82875013
ERI,Eritrea,Sub-Saharan Africa,Low income,10.02630345,24.69332663,3.2117575,1848806.25,6.853999972
ESP,Spain,Europe & Central Asia,High income,18.73825743,22.83865047,4.353119375,21770987.19,15.70187503
EST,Estonia,Europe & Central Asia,High income,20.94984366,24.18698269,5.201552667,681645.375,9.801249921
ETH,Ethiopia,Sub-Saharan Africa,Low income,7.991970142,20.86686974,4.72891,38045880,5.770812511
FIN,Finland,Europe & Central Asia,High income,18.56912067,29.11273993,6.346389375,2661067.5,8.770624995
FJI,Fiji,East Asia & Pacific,Upper middle income,15.26206017,10.91872001,5.206243636,334284,7.561437488
FRA,France,Europe & Central Asia,High income,17.71669677,27.52925082,5.552516923,29202236.75,8.925624937
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,,,9.58384,,
GAB,Gabon,Sub-Saharan Africa,Upper middle income,4.750150204,,3.100403333,466932.6875,18.65612471
GBR,United Kingdom,Europe & Central Asia,High income,19.66237482,24.88049937,5.062273333,31290386.13,5.992500007
GEO,Georgia,Europe & Central Asia,Lower middle income,11.36980693,14.24339008,2.544973333,2121821.813,13.62187499
GHA,Ghana,Sub-Saharan Africa,Lower middle income,14.00806907,29.35405731,6.305203077,10496987.88,5.138250053
GIN,Guinea,Sub-Saharan Africa,Low income,6.253081526,7.112727642,2.266722143,3764898.688,4.547375023
GMB,"Gambia, The",Sub-Saharan Africa,Low income,9.144467762,13.14973672,2.331894,499959.8125,9.400874972
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,2.787440062,,1.9630575,602874.6875,6.380312502
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,,,,309774.125,5.66762498
GRC,Greece,Europe & Central Asia,High income,19.65483093,19.08288851,3.513261667,4992525.625,14.37812501
GRD,Grenada,Latin America & Caribbean,Upper middle income,8.788470268,9.652230263,3.92674,,
GTM,Guatemala,Latin America & Caribbean,Upper middle income,8.808456377,5.070935043,2.958576667,5254101.5,2.796062514
GUM,Guam,East Asia & Pacific,High income,,,,76796.125,9.840937525
GUY,Guyana,Latin America & Caribbean,Upper middle income,9.416036606,10.16872387,4.905857143,281134.625,11.46106249
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,13.84537462,17.84779203,3.792072,3651230.938,4.753125042
HND,Honduras,Latin America & Caribbean,Lower middle income,20.29131508,20.01650047,6.14395,3061640.188,4.241124958
HRV,Croatia,Europe & Central Asia,High income,,,4.120177778,1942455.813,13.61437505
HTI,Haiti,Latin America & Caribbean,Low income,,,3.15723,3979741.75,13.9246251
HUN,Hungary,Europe & Central Asia,High income,20.96784836,21.40844202,4.922475625,4299470.188,7.957499981
IDN,Indonesia,East Asia & Pacific,Lower middle income,11.92780268,9.865803719,3.075438571,111876450.4,5.997500092
IND,India,South Asia,Lower middle income,10.47585386,18.09469646,3.614932,462000288.4,3.960625023
IRL,Ireland,Europe & Central Asia,High income,15.12696501,21.79476983,4.87343375,2096108.938,8.116250023
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,10.98517669,14.44850202,3.811,23656168.31,11.72543758
IRQ,Iraq,Middle East & North Africa,Upper middle income,,,,7616858.625,8.424437553
ISL,Iceland,Europe & Central Asia,High income,24.17805417,20.64965799,7.266758,183740.9375,4.217500024
ISR,Israel,Middle East & North Africa,High income,20.9975407,17.35934691,5.85808125,3296008.375,9.426875025
